date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:13	26/26	---M--	200	added ('OK')	text/plain	etag:W/%2226-1294264080000%22	http://www.cuatower.com/robots.txt		(from )
17:12:14	34653/34653	---MC-	200	added ('OK')	text/html	date:Thu,%2017%20Feb%202011%2023:11:57%20GMT	http://www.cuatower.com/2.5299/speaker-matt-glowacki-discusses-predjudice-with-family-guy-1.822307	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/2.5299/speaker-matt-glowacki-discusses-predjudice-with-family-guy-1.html	(from )
17:12:15	29880/29880	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Jan%202011%2023:04:39%20GMT	http://www.cuatower.com/se/cp.global.css	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/se/cp.global.css	(from )
17:12:15	2137/2137	---M--	200	added ('OK')	text/javascript	etag:W/%222137-1294264080000%22	http://www.cuatower.com/js/atlas.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/js/atlas.js	(from )
17:12:25	53606/53606	---M--	200	added ('OK')	text/javascript	etag:W/%2253606-1294264078000%22	http://www.cuatower.com/js/all-jquery.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/js/all-jquery.js	(from )
17:12:25	67904/67904	---M--	200	added ('OK')	text/javascript	etag:W/%2267904-1297115290000%22	http://www.cuatower.com/js/adGearSegmentation.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/js/adGearSegmentation.js	(from )
17:12:26	4296/4296	---M--	200	added ('OK')	text/javascript	etag:W/%224296-1297107231000%22	http://www.cuatower.com/js/cp5_omnireport.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/js/cp5_omnireport.js	(from )
17:12:27	411/411	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Jan%202010%2019:20:18%20GMT	http://www.cuatower.com/se/template1.custom.css?site=2.5197	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/se/template1.custom89e5.css	(from )
17:12:27	72174/72174	---M--	200	added ('OK')	text/javascript	etag:W/%2272174-1294264080000%22	http://www.cuatower.com/js/jquery-1.4.2.min.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/js/jquery-1.4.2.min.js	(from )
17:12:27	1947/1947	---M--	404	error ('/2.5299/$m.local.imageUrl')	text/html	date:Thu,%2017%20Feb%202011%2023:12:12%20GMT	http://www.cuatower.com/2.5299/$m.local.imageUrl	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/cuatower/www.cuatower.com/2.5299/$m.local.b.delayed	(from )
