date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:58	257/257	U--MCZ	200	updated ('OK')	text/plain	etag:6a6ef710ac561b3860dddee91fa2a081	http://www.hngnews.com/robots.txt		(from )
19:14:58	220751/220751	U-----	200	untouched ('OK')	text/html	etag:86ceabf4d923a6c17fdbd45b133af4ea	http://www.hngnews.com/sun_prairie_star/community/features/article_780ae942-c3ef-11e2-b29c-0019bb30f31a.html	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/ARTICLE_780AE942_C3EF_11E2_B29C.HTM	(from )
19:14:59	26921/26921	---M-Z	200	added ('OK')	text/css	etag:%221736199693%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_jqueryui/resources/styles/jquery-ui-default.min.css?_dc=1359536146	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/JQUERY_UI_DEFAULT_MIN47B3.CSS	(from )
19:15:00	2227/2227	---M-Z	200	added ('OK')	text/css	etag:%2254120141%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/global/resources/styles/_navigation/dropdown.css?_dc=1340201980	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/DROPDOWN81C9.CSS	(from )
19:15:00	745/745	---M-Z	200	added ('OK')	text/css	etag:%221791629%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/global/resources/styles/_navigation/dropdown.vertical.css?_dc=1340201980	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/DROPDOWN_VERTICAL81C9.CSS	(from )
19:15:00	2001/2001	---M-Z	200	added ('OK')	text/css	etag:%2254052365%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/global/resources/styles/_navigation/themes/default/default.css?_dc=1340201980	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/DEFAULT81C9.CSS	(from )
19:15:02	321406/321406	---M-Z	200	added ('OK')	text/css	etag:%22-1492465951%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_base_library/resources/styles/styles.min.css?_dc=1369291215	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/STYLES_MIN13D2.CSS	(from )
19:15:03	6097/6097	---M-Z	200	added ('OK')	text/css	etag:%2258254029%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_theme_palette/resources/styles/_switcher.css?_dc=1354091808	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/_SWITCHER5D21.CSS	(from )
19:15:03	2347/2347	---M-Z	200	added ('OK')	text/css	etag:%2254089421%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_theme_glow/resources/styles/glow.css?_dc=1340201978	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/GLOWF41F.CSS	(from )
19:15:03	53999/53999	---M--	200	added ('OK')	image/jpeg	etag:%221764516621%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/assets/v3/editorial/8/f9/8f9aa146-c3f0-11e2-908b-0019bb30f31a/519e8bd752855.image.jpg	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/519E8BD752855_IMAGE.JPG	(from )
19:15:03	3371/3371	---M-Z	200	added ('OK')	text/css	etag:%2253041677%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_social_share/resources/styles/social_share.min.css?_dc=1364980528	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/SOCIAL_SHARE_MIND8A1.CSS	(from )
19:15:04	23014/23014	---M-Z	200	added ('OK')	text/css	etag:%221730724525%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_commenting/resources/styles/commenting.css?_dc=1367479815	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/COMMENTINGA1DF.CSS	(from )
19:15:04	998/998	---M-Z	200	added ('OK')	text/css	etag:%221860397%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_advertising/resources/styles/ads.css?_dc=1367479816	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/ADS666A.CSS	(from )
19:15:04	3862/3862	---M-Z	200	added ('OK')	text/css	etag:%2253272173%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_advertising/resources/styles/ads_demo.min.css?_dc=1367479816	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/ADS_DEMO_MIN666A.CSS	(from )
19:15:06	93435/93435	---M-Z	200	added ('OK')	application/x-javascript	etag:%221898629773%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_jquery/resources/scripts/jquery.min.js?_dc=1354091841	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/JQUERY_MINB4EF.JS	(from )
19:15:08	236197/236197	---M-Z	200	added ('OK')	application/x-javascript	etag:%22-445095231%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_jqueryui/resources/scripts/jquery-ui.min.js?_dc=1359536146	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/JQUERY_UI_MIN47B3.JS	(from )
19:15:08	3761/3761	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253173773%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_yepnope/resources/scripts/yepnope.min.js?_dc=1361959982	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/YEPNOPE_MIN85DD.JS	(from )
19:15:08	3706/3706	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253167853%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_base_library/resources/scripts/user.js?_dc=1369291215	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/USER13D2.JS	(from )
19:15:09	2246/2246	---M-Z	200	added ('OK')	application/x-javascript	etag:%2254122221%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_jquery_plugins/resources/scripts/jquery.cookie.js?_dc=1368011568	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/JQUERY_COOKIEB985.JS	(from )
19:15:10	16815/16815	---M-Z	200	added ('OK')	application/x-javascript	etag:%221635566221%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_flowplayer/resources/scripts/flowplayer-3.2.6.min.js?_dc=1369226966	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/FLOWPLAYER_3_2_6_MIN9E99.JS	(from )
19:15:11	2295/2295	---M-Z	200	added ('OK')	application/x-javascript	etag:%2254125197%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/components/core_external_flowplayer/resources/scripts/flowplayer.playlist-3.0.7.min.js?_dc=1369226966	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/FLOWPLAYER_PLAYLIST_3_0_7_MIN9E.JS	(from )
