date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:13	257/257	U--MCZ	200	updated ('OK')	text/plain	etag:6a6ef710ac561b3860dddee91fa2a081	http://www.hngnews.com/robots.txt		(from )
19:07:13	220751/220751	U-----	200	untouched ('OK')	text/html	etag:86ceabf4d923a6c17fdbd45b133af4ea	http://www.hngnews.com/sun_prairie_star/community/features/article_780ae942-c3ef-11e2-b29c-0019bb30f31a.html	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/sun_prairie_star/community/features/article_780ae942-c3ef-11e2-b29c-0019bb30f31a.html	(from )
19:07:14	52997/52997	---M-Z	200	added ('OK')	text/css	etag:%221765565133%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/global/resources/styles/_site/site.css?_dc=1368125274	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/live/global/resources/styles/_site/site7ec2.css	(from )
19:07:14	76/76	---M-Z	200	added ('OK')	application/x-javascript	etag:%2256045%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/tncms-ad-limits.js?_dc=1369785390.temp	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/tncms-ad-limitsadd4.js	(from )
19:07:15	16366/16366	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2010%20May%202013%2014:29:22%20GMT	http://www.hngnews.com/shared-content/tncms-ad-manager/ads.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/shared-content/tncms-ad-manager/ads.js	(from )
19:07:15	6880/6880	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2008%20Aug%202008%2019:10:09%20GMT	http://www.hngnews.com/shared-content/swfobject/swfobject.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/shared-content/swfobject/swfobject.js	(from )
19:07:15	5210/5210	---M--	200	added ('OK')	image/jpeg	etag:%2255165485%22	http://www.hngnews.com/content/tncms/live/global/resources/images/_site/sun.JPG	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/content/tncms/live/global/resources/images/_site/sun.JPG	(from )
19:07:16	481/481	---M--	200	added ('OK')	text/css	etag:%221762829%22	http://www.hngnews.com/content/tncms/live/global/resources/styles/ff2.css	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/content/tncms/live/global/resources/styles/ff2.css	(from )
19:07:16	7092/7092	---M-Z	200	added ('OK')	application/x-javascript	etag:%2257205357%22	http://stats-newyork1.bloxcms.com/shared-content/stats/common/tracker.js	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/stats-newyork1.bloxcms.com/shared-content/stats/common/tracker.js	(from )
19:07:16	24412/24412	---M-Z	200	added ('OK')	application/x-javascript	etag:%221734001261%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top1.js?_dc=1368725950	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top19da0.js	(from )
19:07:17	6655/6655	---M-Z	200	added ('OK')	application/x-javascript	etag:%2258446477%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top3.js?_dc=1364484764	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top3f713.js	(from )
19:07:17	6655/6655	---M-Z	200	added ('OK')	application/x-javascript	etag:%2258446477%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top2.js?_dc=1365437312	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-top/leaderboard-top20860.js	(from )
19:07:17	8964/8964	---M-Z	200	added ('OK')	application/x-javascript	etag:%2260579501%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/tile-top/tile-top1.js?_dc=1368193872	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/tile-top/tile-top13fb8.js	(from )
19:07:18	3966/3966	---M--	200	added ('OK')	image/png	etag:%2253239533%22	http://www.hngnews.com/content/tncms/live/editorial/editorial-core-base/resources/images/user_70.png	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/content/tncms/live/editorial/editorial-core-base/resources/images/user_70.png	(from )
19:07:18	3947/3947	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253237453%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/weather-sponsor/weather-sponsor1.js?_dc=1365000720	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/weather-sponsor/weather-sponsor11cbf.js	(from )
19:07:18	1152/1152	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250877037%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-middle/leaderboard-middle1.js?_dc=1367423827	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-middle/leaderboard-middle10ac1.js	(from )
19:07:20	5707/5707	---M-Z	200	added ('OK')	application/x-javascript	etag:%2255264973%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/pencil/pencil1.js?_dc=1368803776	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/pencil/pencil1b009.js	(from )
19:07:21	5905/5905	---M-Z	200	added ('OK')	application/x-javascript	etag:%2255330445%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/in-story/in-story1.js?_dc=1369159868	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/in-story/in-story1ddc4.js	(from )
19:07:21	2514/2514	---M-Z	200	added ('OK')	application/x-javascript	etag:%2254149805%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/in-story/in-story2.js?_dc=1369159868	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/in-story/in-story2ddc4.js	(from )
